-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/31/2022 in LST
Location: latitude  54.691   longitude 25.2823 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 152.46 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX               MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN               MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M
2018,1,24,0.25,1.18,0.12,6.19,0.02,0.02,-7.25,-7.87,-7.56,-7.32,2.14,98.55,1.33,100.43,5.61,7.15,3.26,3.89,190.2
2018,1,25,0.3,1.03,0.14,6.92,0.02,0.02,0.29,0.0,0.15,0.03,3.81,97.84,1.04,99.81,5.36,6.92,3.39,3.53,195.4
2018,1,26,0.57,1.08,0.26,6.51,0.03,0.03,-0.85,-1.51,-1.18,-1.01,3.41,95.89,3.04,100.13,4.56,5.96,3.43,2.53,180.0
2018,1,27,0.33,1.2,0.15,7.14,0.02,0.02,-1.39,-1.77,-1.58,-1.53,3.33,98.24,1.87,100.68,3.06,3.65,2.11,1.54,226.4
2018,1,28,0.19,1.16,0.08,7.09,0.01,0.01,-0.44,-0.78,-0.61,-0.66,3.6,97.93,7.24,99.92,5.4,7.73,3.27,4.46,214.8
2018,1,29,0.34,1.33,0.14,7.24,0.02,0.02,1.32,1.01,1.17,0.81,4.15,97.64,7.98,98.77,5.88,7.8,3.79,4.01,259.4
2018,1,30,0.6,1.49,0.25,7.21,0.03,0.04,0.5,-0.33,0.09,0.1,3.8,94.23,2.18,98.33,8.34,10.1,7.09,3.01,284.8
2018,1,31,0.7,1.51,0.29,6.9,0.04,0.04,-1.07,-1.79,-1.43,-1.4,3.36,95.81,0.26,99.42,3.88,6.73,2.03,4.7,254.7
2018,2,1,0.26,1.26,0.11,6.72,0.02,0.02,-0.29,-0.72,-0.5,-0.49,3.67,97.09,8.67,98.36,4.63,6.85,1.41,5.44,175.7
2018,2,2,0.71,1.39,0.28,6.69,0.04,0.05,-0.94,-1.4,-1.17,-1.88,3.48,97.41,4.96,98.66,1.53,2.32,0.14,2.18,288.3
2018,2,3,0.7,1.61,0.27,6.9,0.04,0.05,-2.75,-3.32,-3.04,-3.27,3.02,97.61,0.32,98.83,2.04,3.32,1.1,2.22,122.6
2018,2,4,0.92,1.71,0.35,6.63,0.05,0.07,-6.99,-8.09,-7.54,-7.55,2.08,94.73,0.05,99.47,4.34,5.22,3.41,1.81,12.5
2018,2,5,1.19,1.88,0.44,5.81,0.06,0.07,-9.95,-10.79,-10.37,-10.47,1.61,96.23,1.04,100.23,3.5,4.27,2.67,1.6,325.5
2018,2,6,0.99,1.81,0.35,6.57,0.06,0.07,-7.04,-7.82,-7.43,-7.33,2.09,97.62,1.45,99.71,3.75,5.5,2.49,3.01,255.9
2018,2,7,1.81,1.87,0.64,5.38,0.08,0.08,-7.53,-8.6,-8.07,-7.97,1.93,95.59,0.06,100.29,3.86,5.34,2.47,2.87,192.4
2018,2,8,0.87,1.7,0.3,6.73,0.05,0.06,-6.31,-6.92,-6.62,-6.69,2.25,98.42,1.19,100.03,2.49,3.1,1.73,1.37,74.5
2018,2,9,0.66,1.84,0.22,6.87,0.04,0.04,-7.35,-8.09,-7.72,-7.64,2.03,98.01,0.26,100.03,3.12,4.01,2.51,1.5,28.1
2018,2,10,0.64,1.82,0.21,6.45,0.04,0.03,-6.8,-7.72,-7.26,-7.39,2.08,96.59,2.62,99.85,1.65,2.57,0.3,2.27,23.6
2018,2,11,0.47,2.01,0.15,6.63,0.03,0.03,-6.49,-7.48,-6.99,-7.57,2.13,95.98,0.22,99.36,1.97,3.3,0.42,2.88,196.5
2018,2,12,0.7,1.95,0.22,6.81,0.04,0.05,-4.66,-5.58,-5.12,-5.03,2.52,95.95,0.1,99.3,3.71,5.29,2.65,2.64,162.6
2018,2,13,0.86,1.87,0.27,6.71,0.05,0.06,-3.99,-4.66,-4.33,-4.47,2.7,97.54,0.4,99.82,1.81,2.67,0.6,2.07,153.1
2018,2,14,1.23,1.96,0.37,6.24,0.07,0.1,-6.47,-7.49,-6.98,-6.89,2.14,95.83,0.34,100.32,2.4,3.29,1.96,1.33,106.3
2018,2,15,1.49,2.22,0.44,5.85,0.08,0.12,-8.95,-10.04,-9.49,-9.39,1.7,95.45,0.14,100.77,2.62,2.97,1.87,1.1,144.8
2018,2,16,0.73,2.25,0.21,6.69,0.05,0.07,-6.26,-6.92,-6.59,-6.48,2.25,98.47,0.8,100.28,3.07,3.97,2.27,1.7,170.0
2018,2,17,0.48,2.03,0.14,7.18,0.03,0.03,-3.03,-3.45,-3.24,-3.39,2.97,98.67,2.73,99.9,3.54,5.26,2.28,2.98,259.2
2018,2,18,0.68,2.44,0.19,6.82,0.04,0.05,-6.42,-7.14,-6.78,-6.9,2.19,97.98,0.58,100.31,3.22,4.51,2.56,1.95,315.3
2018,2,19,0.75,2.3,0.21,7.03,0.05,0.06,-4.45,-4.96,-4.71,-5.0,2.62,98.72,1.78,100.41,2.35,3.6,1.28,2.32,298.5
2018,2,20,1.07,2.37,0.29,6.82,0.06,0.09,-8.04,-8.81,-8.43,-9.32,1.9,97.39,0.69,100.52,1.66,2.52,0.67,1.85,77.8
2018,2,21,1.23,2.42,0.32,5.9,0.08,0.11,-10.06,-10.97,-10.51,-10.91,1.57,96.65,0.6,100.53,2.29,2.84,1.8,1.04,43.0
2018,2,22,2.59,2.79,0.67,4.86,0.13,0.21,-14.29,-15.02,-14.65,-14.47,1.08,96.95,0.14,100.91,3.42,4.69,2.59,2.1,64.1
2018,2,23,2.69,2.79,0.68,4.78,0.13,0.19,-15.37,-16.13,-15.75,-16.34,0.99,96.08,0.06,100.72,2.37,3.43,1.2,2.23,77.6
2018,2,24,2.53,2.99,0.63,5.04,0.14,0.18,-15.63,-16.43,-16.03,-15.79,0.96,96.01,0.12,100.88,4.6,6.31,2.99,3.32,45.3
2018,2,25,2.59,3.07,0.63,5.04,0.15,0.19,-16.08,-16.8,-16.44,-16.27,0.9,96.19,0.17,101.08,2.78,3.26,2.26,1.0,25.1
2018,2,26,2.67,3.13,0.64,4.9,0.15,0.2,-16.27,-17.09,-16.68,-16.86,0.89,95.22,0.41,100.81,2.4,2.78,1.95,0.83,7.0
2018,2,27,2.76,3.24,0.65,4.77,0.15,0.2,-16.34,-17.08,-16.71,-16.49,0.87,95.59,0.25,100.97,4.53,6.28,2.56,3.72,77.4
2018,2,28,2.69,3.28,0.62,4.87,0.16,0.23,-15.66,-16.52,-16.09,-15.65,0.92,94.89,0.73,101.21,5.81,6.72,4.53,2.19,53.5
2018,3,1,1.66,3.2,0.37,5.27,0.11,0.14,-13.6,-14.46,-14.03,-13.65,1.13,96.12,3.44,100.41,4.34,4.94,3.49,1.45,52.2
2018,3,2,2.2,3.22,0.49,5.56,0.13,0.18,-10.36,-11.24,-10.8,-10.51,1.54,96.97,0.59,99.38,3.39,4.59,2.73,1.86,83.0
2018,3,3,2.67,3.34,0.58,5.29,0.16,0.21,-12.64,-13.26,-12.95,-12.74,1.32,98.38,2.37,98.59,4.57,6.33,2.74,3.59,28.8
2018,3,4,3.32,3.42,0.71,5.09,0.18,0.24,-9.74,-10.59,-10.16,-9.93,1.67,97.07,0.09,98.54,4.72,6.46,2.58,3.88,332.5
2018,3,5,3.36,3.52,0.71,5.23,0.18,0.27,-9.49,-10.19,-9.84,-9.78,1.76,97.75,0.13,99.09,2.49,4.4,0.94,3.46,148.1
2018,3,6,2.99,3.34,0.62,5.69,0.17,0.34,-5.11,-5.87,-5.49,-5.23,2.49,97.31,0.08,98.53,3.88,4.81,2.79,2.02,137.2
2018,3,7,2.24,3.44,0.45,6.28,0.17,0.4,-3.83,-4.46,-4.14,-3.84,2.77,97.83,4.21,98.11,4.0,4.85,3.4,1.45,92.7
2018,3,8,1.5,3.04,0.3,6.92,0.11,0.24,-2.02,-2.46,-2.24,-2.15,3.24,98.21,2.53,98.43,2.87,3.68,1.93,1.75,145.8
2018,3,9,2.13,3.31,0.42,7.07,0.13,0.28,-0.07,-0.27,-0.17,-0.24,3.78,98.7,2.62,98.78,2.81,3.46,1.83,1.63,180.7
2018,3,10,1.06,3.52,0.2,7.29,0.06,0.12,-1.36,-2.13,-1.74,-1.87,3.29,95.76,0.52,99.11,1.58,2.86,0.1,2.76,191.7
2018,3,11,0.91,3.15,0.17,7.12,0.06,0.11,-1.26,-1.72,-1.49,-1.37,3.41,97.58,4.56,99.2,4.07,4.86,3.18,1.68,135.4
2018,3,12,1.97,3.36,0.37,7.36,0.14,0.33,0.8,0.53,0.66,0.59,4.03,98.22,1.57,98.49,5.28,6.82,3.52,3.3,144.9
2018,3,13,1.08,3.37,0.2,7.63,0.07,0.15,3.13,3.11,3.12,2.57,4.89,98.84,0.43,97.96,5.24,6.36,3.49,2.87,180.1
2018,3,14,1.5,3.56,0.27,7.4,0.09,0.2,1.94,1.23,1.59,1.69,4.26,95.11,0.32,98.63,3.35,4.51,2.62,1.89,295.0
2018,3,15,2.07,4.05,0.37,6.78,0.11,0.22,-2.06,-5.07,-3.56,-1.66,2.6,81.86,0.03,99.44,3.52,4.53,2.35,2.18,13.2
2018,3,16,2.75,4.25,0.48,6.01,0.14,0.25,-5.47,-9.75,-7.61,-5.04,1.76,73.11,0.21,99.84,4.62,5.9,3.22,2.68,59.8
2018,3,17,4.29,4.41,0.74,4.48,0.2,0.36,-8.19,-11.67,-9.93,-7.97,1.47,78.52,0.02,100.22,5.56,7.44,3.6,3.84,52.3
2018,3,18,4.34,4.42,0.74,4.76,0.2,0.37,-6.0,-9.64,-7.82,-6.07,1.77,78.41,0.01,100.42,2.24,3.68,0.89,2.79,36.5
2018,3,19,4.41,4.48,0.74,4.97,0.21,0.41,-3.79,-6.59,-5.19,-4.32,2.31,83.22,0.0,99.7,2.76,3.66,2.05,1.61,256.9
2018,3,20,4.14,4.33,0.68,5.42,0.19,0.36,-2.73,-6.41,-4.57,-2.66,2.37,79.31,0.04,99.16,2.25,3.29,0.7,2.59,231.3
2018,3,21,2.67,4.57,0.43,6.34,0.14,0.27,-3.36,-6.21,-4.78,-3.23,2.37,83.35,0.19,99.69,4.22,5.48,2.4,3.08,330.3
2018,3,22,1.42,4.05,0.23,6.88,0.08,0.18,-1.95,-3.17,-2.56,-2.04,3.05,92.86,0.86,99.36,4.02,5.23,2.38,2.85,238.1
2018,3,23,1.65,3.97,0.26,6.91,0.09,0.2,-0.58,-2.15,-1.37,-0.59,3.28,90.69,0.4,98.84,2.55,3.28,1.73,1.55,288.2
2018,3,24,4.4,4.72,0.69,5.44,0.22,0.49,-0.8,-4.48,-2.64,-1.04,2.74,79.06,0.0,99.03,1.68,2.44,0.54,1.9,344.3
2018,3,25,3.97,4.3,0.61,5.96,0.19,0.45,1.27,-1.36,-0.04,1.06,3.49,84.01,0.0,99.12,3.55,5.22,2.39,2.83,234.8
2018,3,26,2.12,3.95,0.32,7.38,0.11,0.28,2.71,1.09,1.9,2.5,4.18,89.14,0.37,98.99,2.96,4.14,2.06,2.08,261.3
2018,3,27,4.23,4.9,0.63,6.02,0.21,0.49,-1.04,-5.19,-3.11,-0.76,2.61,76.37,0.17,99.4,3.77,5.61,1.94,3.67,32.8
2018,3,28,4.86,4.97,0.72,5.26,0.23,0.46,-1.75,-6.52,-4.13,-1.21,2.32,72.81,0.03,99.62,2.3,3.08,1.35,1.73,54.0
2018,3,29,3.86,4.66,0.56,5.97,0.19,0.41,-0.71,-3.85,-2.28,-0.56,2.87,80.82,2.08,99.43,5.51,7.24,2.87,4.37,117.4
2018,3,30,2.38,4.19,0.34,7.1,0.13,0.3,1.31,0.36,0.84,1.07,3.97,92.96,3.56,99.06,3.34,6.0,1.74,4.26,195.6
2018,3,31,3.88,4.68,0.55,6.62,0.19,0.43,2.57,0.12,1.34,3.12,3.92,86.07,0.16,98.97,1.9,4.99,0.14,4.85,98.6
2018,4,1,0.73,4.61,0.1,7.24,0.05,0.12,1.67,1.14,1.41,1.62,4.24,96.16,20.75,97.68,5.94,7.77,3.09,4.68,90.4
2018,4,2,1.08,5.0,0.15,7.18,0.08,0.2,0.33,-0.31,0.01,0.22,3.82,95.53,10.07,97.5,5.44,8.21,1.34,6.87,279.1
2018,4,3,4.06,4.92,0.56,6.52,0.21,0.51,2.4,0.18,1.29,2.53,3.96,86.97,2.45,99.23,3.58,4.21,2.28,1.93,213.1
2018,4,4,4.86,4.97,0.66,7.12,0.25,0.65,8.69,7.21,7.95,8.49,6.55,90.93,0.17,99.2,3.01,4.32,1.54,2.78,188.4
2018,4,5,3.83,4.75,0.51,7.57,0.21,0.6,10.48,9.12,9.8,10.13,7.37,91.33,1.35,98.81,3.92,5.44,2.51,2.93,190.0
2018,4,6,4.59,5.45,0.61,6.53,0.25,0.7,5.32,2.27,3.79,4.4,4.62,82.26,0.24,99.6,5.32,8.73,0.98,7.75,277.2
2018,4,7,5.54,5.59,0.72,5.93,0.28,0.76,4.1,-0.23,1.94,4.53,3.73,76.79,0.03,100.84,2.84,4.1,0.17,3.93,259.9
2018,4,8,5.41,5.45,0.7,6.6,0.28,0.87,8.67,5.77,7.22,8.42,5.96,83.5,0.0,100.37,4.41,5.93,3.42,2.51,180.9
2018,4,9,5.23,5.32,0.67,7.26,0.27,0.85,12.62,10.04,11.33,12.42,7.93,85.49,1.02,99.41,5.3,6.74,4.05,2.69,172.8
2018,4,10,5.1,5.31,0.64,7.26,0.27,0.84,12.2,9.83,11.02,12.35,7.73,86.23,0.72,99.32,3.55,6.47,1.68,4.79,7.5
2018,4,11,5.0,5.53,0.63,6.72,0.27,0.83,6.09,2.97,4.53,6.34,4.73,81.45,0.01,100.16,6.13,7.57,4.17,3.4,75.8
2018,4,12,5.02,5.27,0.62,6.88,0.26,0.73,6.75,3.93,5.34,6.93,5.09,83.37,0.0,100.27,4.57,6.0,3.11,2.89,102.7
2018,4,13,5.19,5.58,0.64,6.66,0.27,0.73,8.35,5.41,6.88,8.45,5.65,83.18,0.04,100.39,4.8,6.17,3.25,2.92,104.7
2018,4,14,4.3,5.3,0.52,7.5,0.23,0.71,9.86,7.58,8.72,9.81,6.74,86.07,1.69,100.36,4.27,5.85,2.41,3.44,135.4
2018,4,15,4.58,5.57,0.55,7.32,0.25,0.77,12.73,9.13,10.93,12.5,7.25,80.32,0.15,100.24,1.98,3.04,0.54,2.5,268.3
2018,4,16,3.3,5.02,0.39,7.98,0.19,0.63,14.56,12.44,13.5,14.15,9.19,87.62,0.13,99.65,3.21,4.21,1.87,2.34,171.3
2018,4,17,1.35,4.76,0.16,8.04,0.08,0.29,11.81,10.73,11.27,11.57,8.24,92.32,2.88,99.68,3.82,6.6,1.75,4.85,287.7
2018,4,18,3.36,5.75,0.39,7.89,0.2,0.63,9.12,6.89,8.01,9.22,6.19,86.65,0.15,100.51,5.42,7.78,3.58,4.2,294.0
2018,4,19,4.72,6.11,0.55,7.19,0.26,0.91,8.49,6.11,7.3,8.53,5.86,85.8,0.06,100.46,5.59,9.03,3.07,5.96,324.6
2018,4,20,6.23,6.26,0.71,6.59,0.33,1.06,9.5,6.14,7.82,9.77,5.93,81.69,0.03,100.49,3.3,4.28,2.46,1.82,296.0
2018,4,21,5.27,6.08,0.6,7.16,0.28,1.02,11.04,7.72,9.38,10.83,6.67,81.35,0.01,99.17,6.06,9.46,3.25,6.21,284.4
2018,4,22,5.54,6.6,0.62,6.7,0.3,0.91,8.33,4.96,6.65,8.4,5.47,80.98,0.02,99.44,4.15,6.46,2.62,3.84,308.4
2018,4,23,6.38,6.56,0.71,6.52,0.33,0.97,8.57,4.96,6.76,8.99,5.5,79.59,0.9,99.55,2.25,2.76,1.56,1.2,143.0
2018,4,24,4.06,6.05,0.45,7.83,0.23,0.72,10.14,7.06,8.6,10.16,6.34,82.3,1.43,99.08,3.96,5.99,2.34,3.65,262.4
2018,4,25,2.24,5.86,0.25,7.83,0.15,0.46,9.62,7.91,8.77,9.57,6.79,89.64,7.99,98.62,4.41,6.47,3.05,3.42,241.3
2018,4,26,3.57,6.52,0.39,7.62,0.22,0.7,7.97,5.7,6.83,8.14,5.79,86.64,1.64,98.88,4.94,6.74,2.22,4.52,269.2
2018,4,27,4.59,6.41,0.49,7.13,0.26,0.79,6.97,4.57,5.77,7.03,5.3,85.99,1.86,99.65,3.41,5.37,1.91,3.46,269.0
2018,4,28,3.75,6.04,0.4,7.31,0.21,0.69,8.48,6.14,7.31,8.15,5.97,85.84,0.44,99.87,2.66,3.76,1.32,2.44,161.7
2018,4,29,3.87,6.06,0.41,8.07,0.22,0.83,12.79,11.29,12.04,12.59,8.55,89.9,2.0,99.6,2.34,3.27,0.72,2.55,157.4
2018,4,30,5.61,6.17,0.59,8.35,0.31,1.25,16.81,15.2,16.01,16.2,10.98,90.21,2.08,99.12,2.43,3.85,1.14,2.71,173.6
2018,5,1,6.12,6.42,0.64,8.1,0.34,1.37,17.89,14.33,16.11,17.76,10.35,81.4,2.62,99.04,2.74,4.03,1.19,2.84,241.4
2018,5,2,6.33,6.64,0.66,7.38,0.35,1.36,14.38,10.43,12.41,14.5,8.02,79.22,0.41,99.8,3.28,4.26,1.82,2.44,305.7
2018,5,3,6.4,6.46,0.66,7.83,0.35,1.26,16.48,13.61,15.04,16.24,10.13,84.22,0.68,99.69,3.9,5.99,2.21,3.78,123.6
2018,5,4,5.35,6.72,0.55,7.91,0.29,1.11,15.61,12.85,14.23,15.45,9.4,84.32,0.17,99.9,3.32,4.74,1.54,3.2,346.5
2018,5,5,7.03,7.18,0.71,6.82,0.38,1.31,11.02,5.98,8.5,11.28,5.83,73.68,0.0,100.46,4.09,5.35,2.76,2.59,0.4
2018,5,6,7.24,7.34,0.73,6.69,0.38,1.28,11.44,7.19,9.31,11.67,6.32,77.6,0.01,100.64,3.4,4.85,2.27,2.58,13.1
2018,5,7,7.41,7.42,0.74,6.87,0.4,1.41,13.5,8.88,11.19,13.32,7.12,75.76,0.0,100.47,2.99,4.09,2.1,1.99,46.6
2018,5,8,7.34,7.39,0.73,7.22,0.4,1.56,15.56,10.72,13.14,15.39,8.13,75.39,0.0,100.02,2.86,3.33,2.17,1.16,47.0
2018,5,9,6.62,7.21,0.66,7.79,0.37,1.47,16.57,13.02,14.79,16.63,9.44,81.04,0.16,99.72,3.88,5.16,2.78,2.38,68.4
2018,5,10,7.02,7.13,0.69,7.7,0.38,1.52,17.01,13.08,15.05,17.0,9.44,79.39,0.13,99.95,4.39,5.3,3.6,1.7,107.5
2018,5,11,7.58,7.67,0.74,6.92,0.41,1.51,14.29,9.24,11.76,14.43,7.28,74.42,0.01,100.41,3.47,4.47,2.35,2.12,122.7
2018,5,12,7.41,7.58,0.72,7.09,0.4,1.44,14.77,8.99,11.88,14.8,7.19,71.27,0.0,100.4,2.66,3.04,1.96,1.08,95.0
2018,5,13,6.52,7.38,0.63,7.61,0.36,1.31,15.67,11.63,13.65,15.57,8.6,78.68,0.33,100.11,3.89,5.81,2.49,3.32,80.5
2018,5,14,5.75,7.15,0.55,7.84,0.32,1.13,14.75,10.45,12.6,14.69,7.95,77.34,0.5,100.15,3.65,6.12,2.17,3.95,90.6
2018,5,15,3.17,7.21,0.3,8.2,0.21,0.74,13.88,10.85,12.36,14.13,8.14,83.61,3.03,99.88,2.21,2.78,1.79,0.99,139.8
2018,5,16,5.86,7.07,0.56,8.04,0.33,1.14,15.43,12.52,13.98,15.55,9.19,83.56,1.9,99.5,3.07,4.16,2.37,1.79,107.8
2018,5,17,4.1,6.8,0.39,8.54,0.24,0.9,15.05,12.7,13.88,15.16,9.28,86.73,8.54,99.0,3.68,4.8,1.78,3.02,130.4
